DepMap_ID,stripped_cell_line_name,CCLE_name,alias,COSMIC_ID,Sanger_ID,disease,disease_sutype,disease_sub_subtype,gender,source,Achilles_n_replicates,cell_line_NNMD,culture_type,culture_medium,cas9_activity
ACH-000063,HS616T,HS616T_FIBROBLAST,,, ,fibroblast, , ,Male,,,,,,
ACH-000064,SALE,SALE_LUNG,,, ,lung,lung_immortalized, ,Unknown,,,,,,
ACH-000065,OCIAML5,OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1330983.0,2130,leukemia,AML, ,Male,DSMZ,,,,,
ACH-000066,HCC4006,HCC4006_LUNG,,, ,lung,lung_NSC,lung_adenocarcinoma,Male,ATCC,,,,,
ACH-000067,HS683,HS683_CENTRAL_NERVOUS_SYSTEM,,1240150.0,769,central_nervous_system,glioma,oligodendroglioma,Male,ATCC,2.0,-3.6794728627147966,Adherent,DMEM + 10% FBS,39.3
ACH-000068,REC1,REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,, ,lymphoma,B-cell_lymphoma_other, ,Male,DSMZ,,,,,
ACH-000069,HS611T,HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,, ,lymphoma,Hodgkin_lymphoma, ,Female,ATCC,,,,,
ACH-000070,697,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906800.0,63,leukemia,B-cell_ALL, ,Male,DSMZ,2.0,-3.4882619753859885,Suspension,RPMI + 20% heat inactivated FBS,48
ACH-000071,HS706T,HS706T_BONE,,, ,fibroblast, , ,Female,ATCC,,,,,
ACH-000072,MEG01,MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,908126.0,1263,leukemia,CML, ,Male,ATCC,,,,,
ACH-000073,GRANTA519,GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1303897.0,1776,lymphoma,B-cell_lymphoma_other, ,Female,DSMZ,,,,,
ACH-000074,KU812,KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907311.0,598,leukemia,CML, ,Male,ATCC,2.0,-3.302499823502868,,RPMI + 10% FBS,27.7
ACH-000075,U87MG,U87MG_CENTRAL_NERVOUS_SYSTEM,,687590.0,549,central_nervous_system,glioma,astrocytoma,Female,ATCC,2.0,-2.3574899735935992,Adherent,MEM + 10% FBS,37.9
ACH-000076,NCO2,NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,, ,leukemia,CML, ,Female,HSSRB,2.0,-3.956914049455982,Suspension,RPMI + 10% FBS,45
ACH-000077,MJ,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,, ,lymphoma,T-cell_lymphoma_other, ,Male,ATCC,,,,,
ACH-000078,MHHNB11,MHHNB11_AUTONOMIC_GANGLIA,,908135.0,1818,peripheral_nervous_system,neuroblastoma, ,Male,DSMZ,3.0,-2.188553988490845,Semi-Adherent,RPMI + 10% FBS,39.7
ACH-000079,TE125T,TE125T_FIBROBLAST,,, ,fibroblast, , ,Female,ATCC,,,,,
ACH-000080,BDCM,BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,, ,leukemia,B-cell_ALL, ,Male,ATCC,,,,,
ACH-000081,GDM1,GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906870.0,164,leukemia,AML, ,Female,ATCC,,,,,
ACH-000082,G292CLONEA141B1,G292CLONEA141B1_BONE,"G292CLONEA141B1, G-292 clone A141B1",1290807.0,661,bone,osteosarcoma, ,Female,ATCC,2.0,-4.39164579212804,Adherent,McCoy's 5A + 10% FBS,24.8
ACH-000083,HS281T,HS281T_FIBROBLAST,,, ,fibroblast, , ,Female,ATCC,,,,,
ACH-000084,MUTZ3,MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MUTZ3,, ,leukemia,AML, ,Male,DSMZ,,,,,
ACH-000085,T3M4,T3M4_PANCREAS,,, ,pancreas, , ,Male,RIKEN,1.0,-2.8905433236058107,Adherent,F12 + 10% FBS,7.1
ACH-000086,ACCMESO1,ACCMESO1_PLEURA,,, ,mesothelioma, , ,Female,RIKEN,2.0,-4.069263449770308,Adherent,RPMI + 10% FBS + Glutamax + Sodium pyruvate,21.4
ACH-000087,SKES1,SKES1_BONE,,684072.0,41,bone,Ewing_sarcoma, ,Male,ATCC,2.0,-3.1010000720049176,Semi-Adherent,McCoy's 5A + 15% FBS,42
ACH-000088,HS172T,HS172T_FIBROBLAST,,, ,fibroblast, , ,Male,ATCC,,,,,
ACH-000089,NCIH684,NCIH684_LARGE_INTESTINE,,, ,colorectal, , ,Male,KCLB,,,,,
ACH-000090,PC3,PC3_PROSTATE,,905934.0,911,prostate, , ,Male,ATCC,2.0,-2.16357206094958,Adherent,RPMI + 10% FBS,41.6
ACH-000091,OV56,OV56_OVARY,,1480362.0,686,ovary,ovary_adenocarcinoma, ,Female,ECACC,,,,,
ACH-000092,NCIH2452,NCIH2452_PLEURA,,908462.0,624,mesothelioma, , ,Male,ATCC,2.0,-4.0324697941968575,Adherent,RPMI + 10% FBS,14.3
ACH-000093,PANC0504,PANC0504_PANCREAS,,, ,pancreas, , ,Female,ATCC,,,,,
ACH-000094,HPAFII,HPAFII_PANCREAS,,724869.0,889,pancreas, , ,Male,ATCC,,,,,
ACH-000095,D341,D341MED_CENTRAL_NERVOUS_SYSTEM,D341MED,, ,central_nervous_system,medulloblastoma,med_group_3,Male,ATCC,3.0,-2.8061747708048697,Semi-Adherent,DMEM:F12 (1:1) + 15% FBS,4.4
ACH-000096,G401,G401_SOFT_TISSUE,,907299.0,962,rhabdoid, , ,Male,ATCC,2.0,-2.4053085470755486,Adherent,McCoy's 5A + 10% FBS,62
ACH-000097,ZR751,ZR751_BREAST,,, ,breast,ERpos, ,Female,ATCC,2.0,-4.290229593990658,Adherent,RPMI + 10% FBS,20.9
ACH-000098,GAMG,GAMG_CENTRAL_NERVOUS_SYSTEM,,906868.0,1174,central_nervous_system,glioma,glioblastoma,Female,DSMZ,2.0,-5.048301763279426,Adherent,DMEM + 10% FBS + 2mM Glutamax,8.9
ACH-000099,SIMA,SIMA_AUTONOMIC_GANGLIA,,753620.0,2076,peripheral_nervous_system,neuroblastoma, ,Male,DSMZ,3.0,-3.3403552850677727,Adherent,RPMI + 10% FBS,41
ACH-000100,RH41,RH41_SOFT_TISSUE,,1240210.0,2052,rhabdomyosarcoma, , ,Female,DSMZ,,,,,
ACH-000101,KE37,KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907277.0,1012,leukemia,T-cell_ALL, ,Male,DSMZ,,,,,
ACH-000102,GMS10,GMS10_CENTRAL_NERVOUS_SYSTEM,,906873.0,294,central_nervous_system,glioma,glioblastoma,Male,DSMZ,,,,,
ACH-000103,CAOV4,CAOV4_OVARY,,949090.0,1524,ovary,ovary_adenocarcinoma,ovary_high_grade_serous,Female,ATCC,,,,,
ACH-000104,LOUCY,LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907789.0,1645,leukemia,T-cell_ALL, ,Female,ATCC,,,,,
ACH-000105,ALLSIL,ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1295740.0,2263,leukemia,T-cell_ALL, ,Male,DSMZ,,,,,
ACH-000106,JVM2,JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907269.0,764,lymphoma,B-cell_lymphoma_other, ,Female,DSMZ,,,,,
ACH-000107,CAPAN2,CAPAN2_PANCREAS,,910915.0,703,pancreas, , ,Male,ATCC,,,,,
ACH-000108,KP3,KP3_PANCREAS,,1298219.0,155,pancreas, , ,Male,HSSRB,3.0,-3.9720070062993513,Adherent,RPMI + 10% FBS,30.9
ACH-000109,NCIH3255,NCIH3255_LUNG,,, ,lung,lung_NSC,lung_adenocarcinoma,Female,Academic Lab,,,,,
ACH-000110,NCCSTCK140,NCCSTCK140_STOMACH,,, ,gastric, , ,Female,RIKEN,,,,,
ACH-000111,HCC1187,HCC1187_BREAST,,749711.0,1644,breast,TNBC, ,Female,ATCC,2.0,-2.771537995549638,Mixed Adherent and Suspension,RPMI + 10% FBS,9.2
ACH-000112,SIGM5,SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909715.0,656,leukemia,AML, ,Male,DSMZ,,,,,
ACH-000113,OCIAML2,OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,910947.0,749,leukemia,AML, ,Male,DSMZ,2.0,-3.679151991814457,Suspension,AlphaMEM + 20% FBS,42.1
ACH-000114,SU8686,SU8686_PANCREAS,,1240218.0,268,pancreas, , ,Female,ATCC,,,,,
ACH-000115,VCAP,VCAP_PROSTATE,,1299075.0,2154,prostate, , ,Male,ATCC,2.0,-2.893978297828716,Adherent,DMEM + 10% FBS,45.8
ACH-000116,OAW28,OAW28_OVARY,,946360.0,173,ovary,ovary_adenocarcinoma,ovary_high_grade_serous,Female,ECACC,2.0,-4.558280232166881,Adherent,DMEM + 10% FBS,49.9
ACH-000117,EFM192A,EFM192A_BREAST,,1290798.0,1187,breast,TPBC, ,Female,DSMZ,,,,,
ACH-000118,HUPT3,HUPT3_PANCREAS,,907285.0,109,pancreas, , ,Male,DSMZ,4.0,-4.450663324700343,Adherent,MEM + 10% FBS,29.8
ACH-000119,HS863T,HS863T_FIBROBLAST,,, ,fibroblast, , ,Female,ATCC,,,,,
ACH-000120,CHP212,CHP212_AUTONOMIC_GANGLIA,,906820.0,13,peripheral_nervous_system,neuroblastoma, ,Male,ATCC,4.0,-3.066559229190289,Adherent,MEM:F12 (1:1) + 10% FBS,54.8
ACH-000121,NCIH2405,NCIH2405_LUNG,,687821.0,82,lung,lung_NSC,lung_adenocarcinoma,Male,ATCC,,,,,
ACH-000122,SUPT11,SUPT11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,, ,leukemia,T-cell_ALL, ,Male,DSMZ,,,,,
ACH-000123,COV434,COV434_OVARY,,, ,ovary,ovary_adenocarcinoma,ovary_endometrioid,Female,ECACC,3.0,-4.1223077214285055,Adherent,DMEM + 10% FBS + 2mM L-glutamine,57
ACH-000124,OCILY19,OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1330984.0,1972,lymphoma,DLBCL, ,Female,DSMZ,,,,,
ACH-000125,TO175T,TO175T_FIBROBLAST,,, ,fibroblast, , ,Male,ATCC,,,,,
ACH-000126,KG1C,KG1C_CENTRAL_NERVOUS_SYSTEM,,, ,central_nervous_system,glioma, ,Male,HSRRB,,,,,
ACH-000127,SLR20,SLR20_KIDNEY,,, ,kidney, , ,Unknown,,1.0,-5.4761959540234635,Adherent,RPMI + 10% FBS,12
ACH-000128,LN319,LN319_CENTRAL_NERVOUS_SYSTEM,,, ,central_nervous_system,glioma,astrocytoma,Male,,2.0,-3.1347883789452946,Adherent,DMEM + 10% FBS,31.2
ACH-000129,NCIH1341,NCIH1341_LUNG,,1330964.0,1825,lung,lung_small, ,Female,ATCC,,,,,
ACH-000130,NALM19,NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,, ,leukemia,B-cell_ALL, ,Male,DSMZ,,,,,
ACH-000131,HS229T,HS229T_FIBROBLAST,,, ,fibroblast, , ,Male,ATCC,,,,,
ACH-000132,JHOS2,JHOS2_OVARY,,1479995.0,436,ovary,ovary_adenocarcinoma,ovary_high_grade_serous,Female,RIKEN,1.0,-4.513194020721498,Adherent,DMEM:F12 (1:1) + 10% FBS,16.2
ACH-000133,HS729,HS729_SOFT_TISSUE,,, ,fibroblast, , ,Male,ATCC,2.0,-4.442829462677818,Adherent,DMEM + 5% FBS,28
ACH-000134,HS274T,HS274T_FIBROBLAST,,, ,fibroblast, , ,Female,ATCC,,,,,
ACH-000135,HS940T,HS940T_FIBROBLAST,,1298145.0,707,fibroblast, , ,Male,ATCC,,,,,
ACH-000136,CHP126,CHP126_AUTONOMIC_GANGLIA,,910567.0,38,peripheral_nervous_system,neuroblastoma, ,Female,DSMZ,,,,,
ACH-000137,8MGBA,8MGBA_CENTRAL_NERVOUS_SYSTEM,,687562.0,1207,central_nervous_system,glioma,astrocytoma,Female,DSMZ,2.0,-3.74431716988602,Adherent,MEM + 20% FBS,45.7
ACH-000138,CFPAC1,CFPAC1_PANCREAS,,906821.0,572,pancreas, , ,Male,ATCC,3.0,-3.738752364101516,Adherent,DMEM + 10% FBS,32.9
ACH-000139,PANC0327,PANC0327_PANCREAS,,925346.0,1873,pancreas, , ,Female,ATCC,,,,,
ACH-000140,PFEIFFER,PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,, ,lymphoma,DLBCL, ,Male,ATCC,,,,,
ACH-000141,SNU308,SNU308_BILIARY_TRACT,,, ,bile_duct,gallbladder, ,Unknown,KCLB,3.0,-3.531221249658413,Adherent,RPMI + 10% FBS + Sodium bicarbonate,18.6
ACH-000142,CAL29,CAL29_URINARY_TRACT,,1290730.0,2040,urinary_tract, , ,Female,DSMZ,2.0,-3.569374058710608,Adherent,DMEM + 10% FBS,17.2
ACH-000143,HCC2429,HCC2429_LUNG,,, ,lung,lung_NSC, ,Female,,2.0,-3.472209060121189,Adherent,RPMI + 10% FBS,24.6
ACH-000144,RERFGC1B,RERFGC1B_STOMACH,,1240209.0,285,gastric, , ,Male,HSRRB,,,,,
ACH-000145,SKLMS1,SKLMS1_SOFT_TISSUE,,909720.0,1641,soft_tissue,leiomyosarcoma, ,Female,ATCC,,,,,
ACH-000146,THP1,THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909771.0,770,leukemia,AML, ,Male,ATCC,3.0,-5.2318169991795065,Suspension,RPMI + 10% FBS + 0.5mM BME,34.4
ACH-000147,T47D,T47D_BREAST,,905945.0,1286,breast,ERpos, ,Female,ATCC,,,,,
ACH-000148,HS578T,HS578T_BREAST,,905957.0,655,breast,TNBC, ,Female,ATCC,3.0,-4.536653603904367,Adherent,DMEM + 10% FBS,29.1
ACH-000149,SKNSH,SKNSH_AUTONOMIC_GANGLIA,,717431.0,1165,peripheral_nervous_system,neuroblastoma, ,Female,ATCC,,,,,
ACH-000150,HCC2935,HCC2935_LUNG,,, ,lung,lung_NSC,lung_adenocarcinoma,Male,ATCC,1.0,-3.192160967053765,Adherent,RPMI + 10% FBS,16.8
ACH-000151,JM1,JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1327768.0,2096,leukemia,B-cell_ALL, ,Male,ATCC,2.0,-2.5153414793440736,,IMDM + 10% FBS,33
ACH-000152,M059K,M059K_CENTRAL_NERVOUS_SYSTEM,,, ,central_nervous_system,glioma,glioblastoma,Male,ATCC,2.0,-4.599077781217481,Adherent,DMEM:F12 (1:1) + 10% FBS,25.5
ACH-000153,NCIH2052,NCIH2052_PLEURA,,688058.0,1485,mesothelioma, , ,Male,ATCC,1.0,-2.7266531943529406,Adherent,RPMI + 10% FBS,30.5
ACH-000154,HS888T,HS888T_FIBROBLAST,,, ,fibroblast, , ,Male,ATCC,,,,,
ACH-000155,SW1990,SW1990_PANCREAS,,910907.0,1912,pancreas, , ,Male,ATCC,,,,,
ACH-000156,MHHCALL4,MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,908133.0,2070,leukemia,B-cell_ALL, ,Male,DSMZ,,,,,
ACH-000157,A4FUK,A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,910934.0,186,lymphoma,DLBCL, ,Female,JCRB,,,,,
ACH-000158,OCILY3,OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,, ,lymphoma,DLBCL, ,Male,Academic Lab,,,,,
ACH-000159,OSRC2,OSRC2_KIDNEY,,909250.0,1674,kidney, , ,Male,RIKEN,2.0,-4.26613976256463,Adherent,RPMI + 10% FBS,19.4
ACH-000160,BT12,BT12_SOFT_TISSUE,,, ,rhabdoid, , ,Female,,2.0,-3.591349193980792,Adherent,DMEM + 10% FBS,21.3
ACH-000161,CORL105,CORL105_LUNG,,906805.0,22,lung,lung_NSC,lung_adenocarcinoma,Male,ECACC,,,,,
ACH-000162,GA10,GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1303896.0,1008,lymphoma,Burkitt_lymphoma, ,Male,ATCC,,,,,
ACH-000163,SW579,SW579_THYROID,,, ,thyroid, , ,Male,ATCC,2.0,-4.265165502562948,Adherent,DMEM + 10% FBS,47.5
ACH-000164,PANC1,PANC1_PANCREAS,,, ,pancreas, , ,Male,ATCC,2.0,-4.722190058922642,Adherent,DMEM + 10% FBS,3.6
ACH-000165,HS751T,HS751T_FIBROBLAST,,, ,fibroblast, , ,Male,ATCC,,,,,
ACH-000166,KASUMI6,KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,, ,leukemia,AML, ,Male,ATCC,,,,,
