g1	g2	fish_p	count	FDR	fish_FDR
DHRS1	MRAP	5.442569145537679e-6	48	0.0025231442488761044	0.0025231442488761044
DHRS1	TGM1	3.44409112046267e-9	33	4.83560233573303e-6	4.83560233573303e-6
DMRT2	HIST1H4I	1.191130967655866e-6	19	6.5767827956828e-4	6.5767827956828e-4
DMRT2	IGFL1	5.160125662636284e-7	23	3.0923626242391415e-4	3.0923626242391415e-4
DMRT2	KRTAP4-12	7.658890235408496e-6	28	0.003110458884778586	0.003110458884778586
DMRT2	VAMP5	5.6437148194513995e-9	23	7.2983628932279275e-6	7.2983628932279275e-6
DNAAF2	MDGA2	6.320992648685516e-6	4	0.0026795816901110745	0.0026795816901110745
DND1	GMPR2	6.060288915378196e-6	124	0.0026795816901110745	0.0026795816901110745
DND1	HUNK	6.325298143157133e-6	140	0.0026795816901110745	0.0026795816901110745
DND1	MRAP	2.743566106344373e-7	125	1.8725219726648448e-4	1.8725219726648448e-4
DND1	RILPL1	9.42734448375694e-6	125	0.0037489118611278033	0.0037489118611278033
DND1	TGM1	7.648747040933263e-7	110	4.320311245270132e-4	4.320311245270132e-4
EP300	SYNJ1	1.8352402048494952e-6	34	9.594206266649899e-4	9.594206266649899e-4
ERO1A	LSS	6.320992648685516e-6	4	0.0026795816901110745	0.0026795816901110745
FAM149B1	RILPL1	1.1121314658250284e-5	58	0.004339454596667496	0.004339454596667496
FAM161A	HMBS	4.498915428243067e-6	135	0.0021257807986470438	0.0021257807986470438
FASN	GPAT4	6.027450826356144e-9	10	7.59474259122993e-6	7.59474259122993e-6
FASN	GPI	1.3484623354816087e-6	9	7.281844794274915e-4	7.281844794274915e-4
GMPR2	HMBS	6.589198085559786e-7	141	3.809409213205805e-4	3.809409213205805e-4
GMPR2	HUNK	3.545279945142139e-15	92	2.177732522302873e-11	2.177732522302873e-11
GMPR2	IRF5	1.4280447820703834e-5	58	0.005198188787831164	0.005198188787831164
GMPR2	MRAP	5.0754606722391694e-12	77	1.4671365464382649e-8	1.4671365464382649e-8
GMPR2	RILPL1	1.759438627123968e-7	77	1.217754557401393e-4	1.217754557401393e-4
GMPR2	TGM1	9.590491510540316e-33	62	2.3564317165973084e-28	2.3564317165973084e-28
GPAT4	GPI	1.3484623354816087e-6	9	7.281844794274915e-4	7.281844794274915e-4
H2AFX	HMBS	6.747886455357261e-6	114	0.0028101515957856876	0.0028101515957856876
HARS2	HMBS	4.7099831979703403e-7	126	2.8960492616173904e-4	2.8960492616173904e-4
HARS2	PTCD1	1.6880401178475433e-9	82	2.5922493572233166e-6	2.5922493572233166e-6
HARS2	RILPL1	4.714676968913763e-7	62	2.8960492616173904e-4	2.8960492616173904e-4
HAS3	PDF	2.2070356685116342e-5	15	0.00718251256863114	0.00718251256863114
HIST1H4I	IGFL1	1.5102100906022094e-7	14	1.0601890580326168e-4	1.0601890580326168e-4
HMBS	HUNK	6.39646515507932e-11	157	1.4968033056464424e-7	1.4968033056464424e-7
HMBS	MRAP	3.7747044236604525e-9	142	5.152576391197175e-6	5.152576391197175e-6
HMBS	PTCD1	1.2806654811207567e-9	162	2.0301026583146807e-6	2.0301026583146807e-6
HMBS	TGM1	1.1431473999249818e-7	127	8.9167311713831e-5	8.9167311713831e-5
HUNK	IRF5	2.5560988856303798e-6	74	0.0012197535094609444	0.0012197535094609444
HUNK	MRAP	4.654947066795065e-22	93	7.624958460312544e-18	7.624958460312544e-18
HUNK	PPP1R3G	4.2772054806465783e-7	149	2.802482060326047e-4	2.802482060326047e-4
HUNK	PTCD1	1.060763396577459e-6	113	5.923519780819649e-4	5.923519780819649e-4
HUNK	RILPL1	1.6944094855912945e-5	93	0.006033693951553755	0.006033693951553755
HUNK	SYNJ1	2.769670098381901e-8	75	3.0245412956574443e-5	3.0245412956574443e-5
HUNK	TCP10L	6.829764784256275e-6	59	0.00282034849800956	0.00282034849800956
HUNK	TGM1	2.293315026367029e-12	78	7.0434871069188864e-9	7.0434871069188864e-9
IDO1	JADE2	6.320992648685516e-6	4	0.0026795816901110745	0.0026795816901110745
IFFO1	PPP1R3G	5.732000966920737e-7	146	3.35328880375538e-4	3.35328880375538e-4
IGFL1	ZNF611	2.8331114969971315e-5	23	0.009040385199606236	0.009040385199606236
IRF9	STAT2	1.3520839890236478e-7	7	9.770994015384033e-5	9.770994015384033e-5
IRF9	TYK2	1.3520839890236478e-7	7	9.770994015384033e-5	9.770994015384033e-5
ITCH	RALY	7.388173225736351e-7	22	4.2216537265803497e-4	4.2216537265803497e-4
KCTD5	TSC1	3.324646746683559e-8	66	3.460560380448489e-5	3.460560380448489e-5
KCTD5	TSC2	4.674161786458575e-7	64	2.8960492616173904e-4	2.8960492616173904e-4
KDM6B	SAP30L	6.320992648685516e-6	4	0.0026795816901110745	0.0026795816901110745
KEAP1	PDCD10	1.278589093323072e-7	85	9.770994015384033e-5	9.770994015384033e-5
KIRREL1	MAP4K4	8.11831835552716e-8	34	6.761733598456951e-5	6.761733598456951e-5
KIRREL1	NF2	2.6207843054534767e-17	71	3.2196990388572327e-13	3.2196990388572327e-13
KIRREL1	PDCD10	3.3947728219934867e-9	71	4.83560233573303e-6	4.83560233573303e-6
KIRREL1	TAOK1	6.3472784785531e-8	49	5.4721335388522435e-5	5.4721335388522435e-5
KRTAP4-12	SPRR1B	5.980441114896428e-8	26	5.2479438719129524e-5	5.2479438719129524e-5
MAP4K4	NF2	4.0800476741993e-8	67	3.931325936427996e-5	3.931325936427996e-5
MAP4K4	PDCD10	4.0800476741993e-8	67	3.931325936427996e-5	3.931325936427996e-5
MAP4K4	TAOK1	3.956507746181981e-9	45	5.254776950138615e-6	5.254776950138615e-6
MED19	SUPT20H	5.40140525729072e-8	12	4.9738799788603296e-5	4.9738799788603296e-5
MED19	TADA1	4.498172141537488e-7	15	2.870710093601217e-4	2.870710093601217e-4
MED19	TADA2B	4.498172141537488e-7	15	2.870710093601217e-4	2.870710093601217e-4
MED19	TAF5L	5.56690744668033e-8	22	4.9738799788603296e-5	4.9738799788603296e-5
MED19	TAF6L	1.805643724799809e-8	11	2.063514843729962e-5	2.063514843729962e-5
MRAP	PPP1R3G	8.488396152273128e-6	134	0.0034190842239250306	0.0034190842239250306
MRAP	RILPL1	2.4028341045849706e-8	78	2.683583425759319e-5	2.683583425759319e-5
MRAP	SYNJ1	2.320019273118659e-6	60	0.0011515966373770103	0.0011515966373770103
MRAP	TGM1	1.545946608527844e-10	63	3.1810276924357386e-7	3.1810276924357386e-7
NCSTN	PSENEN	1.896297794605663e-5	5	0.006296349319237627	0.006296349319237627
NF2	NRP1	3.131254422867234e-5	58	0.009800826343574444	0.009800826343574444
NF2	PDCD10	4.158289390603227e-14	104	2.2704722104848134e-10	2.2704722104848134e-10
NF2	PTEN	2.2733045689410713e-6	144	0.001139923059411563	0.001139923059411563
NF2	TAOK1	1.553583863137863e-10	82	3.1810276924357386e-7	3.1810276924357386e-7
NF2	TSC2	1.4555597912024796e-7	101	1.0366328072388558e-4	1.0366328072388558e-4
NRP1	TSC2	2.3085041503100612e-5	55	0.0074633027927886	0.0074633027927886
PDCD10	PTEN	2.2733045689410713e-6	144	0.001139923059411563	0.001139923059411563
PDCD10	TAOK1	9.16381479303373e-12	82	2.501772348580392e-8	2.501772348580392e-8
PDCD10	TSC2	6.307446012874952e-6	101	0.0026795816901110745	0.0026795816901110745
PLEKHA1	PLEKHH3	2.712971725720462e-10	13	4.775626387534348e-7	4.775626387534348e-7
PLEKHA1	PTEN	2.55661487300782e-6	99	0.0012197535094609444	0.0012197535094609444
PLEKHA1	TSC2	2.122668013335687e-6	56	0.0010923757807428632	0.0010923757807428632
PLEKHH3	PTEN	1.6558540514713462e-5	98	0.00593943970389441	0.00593943970389441
PSENEN	TGFBR2	1.8962977946056427e-5	5	0.006296349319237627	0.006296349319237627
PTEN	TSC1	2.359800163483088e-13	143	1.054208543942931e-9	1.054208543942931e-9
PTEN	TSC2	4.977543819407665e-14	141	2.4460148082951206e-10	2.4460148082951206e-10
RARA	ROCK1	6.320992648685516e-6	4	0.0026795816901110745	0.0026795816901110745
RARG	SUPT7L	6.320992648685516e-6	4	0.0026795816901110745	0.0026795816901110745
RILPL1	RILPL2	1.9858975032354272e-5	43	0.00654959659103974	0.00654959659103974
RILPL1	TGM1	5.480313383997541e-8	63	4.9738799788603296e-5	4.9738799788603296e-5
SLC44A5	TBC1D1	6.320992648685516e-6	4	0.0026795816901110745	0.0026795816901110745
SMCP	SPRR1B	3.517099284948009e-8	19	3.5272199175842876e-5	3.5272199175842876e-5
STAT2	TYK2	3.380209972559115e-8	6	3.460560380448489e-5	3.460560380448489e-5
SUPT20H	TADA1	1.9506087902124303e-12	15	6.390324437321936e-9	6.390324437321936e-9
SUPT20H	TADA2B	1.9506087902124303e-12	15	6.390324437321936e-9	6.390324437321936e-9
SUPT20H	TAF5L	1.8595803800025194e-10	22	3.655265578148152e-7	3.655265578148152e-7
SUPT20H	TAF6L	1.2957615534982721e-11	11	3.351316763182031e-8	3.351316763182031e-8
TADA1	TADA2B	3.758360466738796e-13	18	1.539079930800093e-9	1.539079930800093e-9
TADA1	TAF5L	4.801417792495078e-13	25	1.8149728595461588e-9	1.8149728595461588e-9
TADA1	TAF6L	2.721099262346345e-10	14	4.775626387534348e-7	4.775626387534348e-7
TADA2B	TAF5L	7.789767256126568e-16	25	5.55380859526529e-12	5.55380859526529e-12
TADA2B	TAF6L	2.721099262346345e-10	14	4.775626387534348e-7	4.775626387534348e-7
TAF5L	TAF6L	9.433144109467311e-9	21	1.1306198406910564e-5	1.1306198406910564e-5
TAOK1	TSC1	2.1340240318942405e-6	81	0.0010923757807428632	0.0010923757807428632
TAOK1	TSC2	1.1126580231987638e-5	79	0.004339454596667496	0.004339454596667496
TSC1	TSC2	4.70562684505876e-47	100	2.312392087930325e-42	2.312392087930325e-42
