GENE	Count	PS_Mean_Exp	Other_Mean_Exp	PS_Median_Exp	Other_Median_Exp	PS_Mut	Other_Mut	Expression_Compare_Wilcox_Test_p	Mutations_Compare_Fisher_Test_p
RUNX1	 2	   NaN	    NaN	    NA	     NA	0.00000	0.035651	       NA	1.460e-03
SMAD3	 2	 5.436	 4.6523	 5.436	 4.8671	0.00000	0.014260	1.968e-01	2.844e-04
SMAD4	 2	 4.120	 4.3060	 4.120	 4.5103	0.00000	0.073084	7.772e-01	5.708e-03
SPEN	 1	 3.790	 4.7611	 3.790	 4.8145	0.00000	0.153025	9.301e-01	1.545e-01
STK11	 4	 5.217	 5.0200	 5.278	 5.1375	0.00000	0.051878	3.568e-01	9.880e-06
SUFU	 1	 3.450	 2.5613	 3.450	 2.5336	0.00000	0.017794	6.191e-02	1.954e-02
SUZ12	 2	 4.240	 4.6533	 4.240	 4.6747	0.00000	0.048128	6.599e-01	2.566e-03
TENT5C	 2	 6.167	 0.9083	 6.167	 0.3448	0.00000	0.016043	8.778e-03	3.477e-04
TET2	 1	 2.444	 2.2280	 2.444	 2.2234	1.00000	0.064057	3.124e-01	1.000e+00
TGFBR2	 2	 4.227	 3.9900	 4.227	 4.3501	0.00000	0.033868	5.360e-01	1.327e-03
TNFAIP3	 1	 4.066	 3.1581	 4.066	 3.0687	0.00000	0.033808	2.349e-01	3.552e-02
TP53	79	 5.379	 4.9757	 5.459	 5.4433	0.08861	0.791322	2.064e-01	6.164e-03
TSC1	51	 3.584	 3.4049	 3.536	 3.3771	0.01961	0.031250	1.273e-02	3.613e-56
TSC2	49	 5.071	 4.9336	 5.131	 4.9533	0.04082	0.081712	5.907e-02	4.489e-41
WT1	 1	 3.512	 0.9569	 3.512	 0.2016	0.00000	0.028470	6.625e-02	3.020e-02
